materialSampleID,eventDate,samplingStation,waterSample,Latitude,Longitude
Sample-64,8/16/2022,SAB_TRANS_13,493921,46.144643,58.939653
Sample-65,8/16/2022,SAB_TRANS_13,493922,46.144643,58.939653
Sample-66,8/16/2022,SAB_TRANS_13,493923,46.144643,58.939653
Sample-67,8/16/2022,SAB_TRANS_13,493924,46.144643,58.939653
Sample-68,8/16/2022,SAB_TRANS_13,493925,46.144643,58.939653
Sample-69,8/16/2022,SAB_TRANS_13,493926,46.144643,58.939653
Sample-70,8/16/2022,SAB_TRANS_14,493927,46.194957,58.852367
Sample-71,8/16/2022,SAB_TRANS_14,493928,46.194957,58.852367
Sample-72,8/16/2022,SAB_TRANS_14,493929,46.194957,58.852367
Sample-73,8/16/2022,SAB_TRANS_14,493931,46.194957,58.852367
Sample-74,8/16/2022,SAB_TRANS_14,493932,46.194957,58.852367
Sample-75,8/16/2022,SAB_TRANS_07,493934,46.280412,59.007967
Sample-76,8/16/2022,SAB_TRANS_07,493935,46.280412,59.007967
Sample-77,8/16/2022,SAB_TRANS_07,493936,46.280412,59.007967
Sample-78,8/16/2022,SAB_TRANS_07,493937,46.280412,59.007967
Sample-79,8/16/2022,SAB_TRANS_07,493938,46.280412,59.007967
2023SAB-01,8/14/2023,SAB_05,413357,45.84685,59.523712
2023SAB-02,8/14/2023,SAB_08,413365,45.826033,59.416757
2023SAB-03,8/15/2023,SAB_11,413375,45.983238,59.23123
2023SAB-04,8/15/2023,SAB_11,413377,45.983238,59.23123
2023SAB-05,8/15/2023,SAB_13,413381,45.948022,59.484237
2023SAB-06,8/15/2023,SAB_13,413382,45.948022,59.484237
2023SAB-07,8/15/2023,SAB_13,413383,45.948022,59.484237
2023SAB-08,8/15/2023,BLANK,413384,NA,NA
2023SAB-09,8/16/2023,SAB_14,413386,45.996327,59.206958
2023SAB-10,8/16/2023,SAB_15,413388,46.009818,59.19741
2023SAB-100,8/18/2023,SAB_30,413446,46.037533,59.341307
2023SAB-101,8/18/2023,SAB_31,413449,46.043068,59.353867
2023SAB-102,8/21/2023,SAB_60,413450,46.095728,59.635103
2023SAB-103,8/21/2023,SAB_60,413451,46.095728,59.635103
2023SAB-104,8/18/2023,SAB_31,413447,46.043068,59.353867
2023SAB-105,8/18/2023,SAB_31,413448,46.043068,59.353867
2023SAB-106,8/21/2023,SAB_60,413452,46.095728,59.635103
2023SAB-107,8/21/2023,SAB_61,413453,46.126883,59.63169
2023SAB-108,8/21/2023,SAB_61,413455,46.126883,59.63169
2023SAB-109,8/21/2023,SAB_62,413456,46.14038,59.582767
2023SAB-11,8/16/2023,SAB_15,413389,46.009818,59.19741
2023SAB-110,8/21/2023,SAB_62,413457,46.14038,59.582767
2023SAB-111,8/21/2023,SAB_62,413458,46.14038,59.582767
2023SAB-112,8/21/2023,SAB_63,413459,45.992022,59.609228
2023SAB-113,8/21/2023,SAB_63,413460,45.992022,59.609228
2023SAB-114,8/23/2023,SAB_22REAL,413462,45.988175,59.047015
2023SAB-115,8/23/2023,SAB_22REAL,413463,45.988175,59.047015
2023SAB-116,8/23/2023,SAB_22REAL,413464,45.988175,59.047015
2023SAB-117,8/23/2023,SAB_21REAL,413465,45.997458,58.870315
2023SAB-118,8/23/2023,SAB_21REAL,413466,45.997458,58.870315
2023SAB-119,8/23/2023,SAB_21REAL,413467,45.997458,58.870315
2023SAB-12,8/16/2023,SAB_15,413390,46.009818,59.19741
2023SAB-120,8/23/2023,SAB_25REAL,413468,45.991303,58.930838
2023SAB-121,8/23/2023,SAB_25REAL,413469,45.991303,58.930838
2023SAB-122,8/23/2023,SAB_25REAL,413470,45.991303,58.930838
2023SAB-13,8/16/2023,SAB_16,413391,45.995887,59.201843
2023SAB-14,8/16/2023,SAB_16,413393,45.995887,59.201843
2023SAB-15,8/16/2023,SAB_17,413395,46.004382,59.185998
2023SAB-16,8/16/2023,SAB_18,413397,45.909682,58.989188
2023SAB-17,8/16/2023,SAB_18,413398,45.909682,58.989188
2023SAB-18,8/16/2023,SAB_18,413399,45.909682,58.989188
2023SAB-19,8/16/2023,SAB_18,413400,45.909682,58.989188
2023SAB-20,8/16/2023,SAB_18,413401,45.909682,58.989188
2023SAB-21,8/16/2023,SAB_19,413407,45.904998,59.024608
2023SAB-22,8/18/2023,SAB_28,413438,45.881037,59.540707
2023SAB-23,8/18/2023,BLANK,413343,NA,NA
2023SAB-24,8/14/2023,SAB_01,413344,45.840875,59.64083
2023SAB-25,8/14/2023,SAB_01,413345,45.840875,59.64083
2023SAB-26,8/14/2023,SAB_01,413346,45.840875,59.64083
2023SAB-27,8/14/2023,SAB_02,413347,45.827298,59.623833
2023SAB-28,8/14/2023,SAB_02,413348,45.827298,59.623833
2023SAB-29,8/14/2023,SAB_02,413349,45.827298,59.623833
2023SAB-30,8/14/2023,SAB_03,413350,45.832377,59.584417
2023SAB-31,8/14/2023,SAB_03,413351,45.832377,59.584417
2023SAB-32,8/14/2023,SAB_03,413352,45.832377,59.584417
2023SAB-33,8/14/2023,SAB_04,413353,45.835083,59.541815
2023SAB-34,8/14/2023,SAB_04,413354,45.835083,59.541815
2023SAB-35,8/14/2023,SAB_04,413355,45.835083,59.541815
2023SAB-36,8/14/2023,SAB_05,413356,45.84685,59.523712
2023SAB-37,8/14/2023,SAB_05,413358,45.84685,59.523712
2023SAB-38,8/14/2023,SAB_06,413359,45.846147,59.504863
2023SAB-39,8/14/2023,SAB_06,413360,45.846147,59.504863
2023SAB-40,8/14/2023,SAB_06,413361,45.846147,59.504863
2023SAB-41,8/14/2023,SAB_07,413362,45.834598,59.490668
2023SAB-42,8/14/2023,SAB_07,413363,45.834598,59.490668
2023SAB-43,8/15/2023,SAB_09,413370,45.942837,59.31585
2023SAB-44,8/15/2023,SAB_10,413372,45.964307,59.252917
2023SAB-45,8/14/2023,SAB_07,413364,45.834598,59.490668
2023SAB-46,8/14/2023,SAB_08,413366,45.826033,59.416757
2023SAB-47,8/14/2023,SAB_08,413367,45.826033,59.416757
2023SAB-48,8/14/2023,BLANK,413368,NA,NA
2023SAB-49,8/15/2023,SAB_09,413369,45.942837,59.31585
2023SAB-50,8/15/2023,SAB_09,413371,45.942837,59.31585
2023SAB-51,8/15/2023,SAB_10,413373,45.964307,59.252917
2023SAB-52,8/15/2023,SAB_10,413374,45.964307,59.252917
2023SAB-53,8/15/2023,SAB_11,413376,45.983238,59.23123
2023SAB-54,8/15/2023,SAB_12,413378,45.990535,59.209287
2023SAB-55,8/15/2023,SAB_12,413379,45.990535,59.209287
2023SAB-56,8/15/2023,SAB_12,413380,45.990535,59.209287
2023SAB-57,8/16/2023,SAB_14,413385,45.996327,59.206958
2023SAB-58,8/16/2023,SAB_14,413387,45.996327,59.206958
2023SAB-59,8/16/2023,SAB_16,413392,45.995887,59.201843
2023SAB-60,8/16/2023,SAB_17,413394,46.004382,59.185998
2023SAB-61,8/16/2023,SAB_17,413396,46.004382,59.185998
2023SAB-62,8/16/2023,SAB_18,413402,45.909682,58.989188
2023SAB-63,8/16/2023,SAB_19,413403,45.904998,59.024608
2023SAB-64,8/16/2023,SAB_19,413404,45.904998,59.024608
2023SAB-65,8/16/2023,SAB_19,413405,45.904998,59.024608
2023SAB-66,8/16/2023,SAB_19,413406,45.904998,59.024608
2023SAB-67,8/16/2023,SAB_20,41309,45.907143,59.047792
2023SAB-68,8/16/2023,SAB_20,41310,45.907143,59.047792
2023SAB-69,8/16/2023,SAB_20,41311,45.907143,59.047792
2023SAB-70,8/16/2023,BLANK,413412,NA,NA
2023SAB-71,8/17/2023,SAB_21,413413,45.889482,59.609993
2023SAB-72,8/17/2023,SAB_21,413414,45.889482,59.609993
2023SAB-73,8/17/2023,SAB_21,413415,45.889482,59.609993
2023SAB-74,8/17/2023,SAB_22,413416,45.89367,59.599857
2023SAB-75,8/17/2023,SAB_22,413417,45.89367,59.599857
2023SAB-76,8/17/2023,SAB_22,413418,45.89367,59.599857
2023SAB-77,8/17/2023,SAB_23,413419,45.949175,59.485957
2023SAB-78,8/17/2023,SAB_23,413421,45.949175,59.485957
2023SAB-79,8/17/2023,SAB_24,413422,46.04188,59.477503
2023SAB-80,8/17/2023,SAB_24,413423,46.04188,59.477503
2023SAB-81,8/17/2023,SAB_24,413424,46.04188,59.477503
2023SAB-82,8/16/2023,SAB_19,413408,45.904998,59.024608
2023SAB-83,8/17/2023,SAB_23,413420,45.949175,59.485957
2023SAB-84,8/17/2023,SAB_24,413426,46.04188,59.477503
2023SAB-85,8/17/2023,SAB_24,413427,46.04188,59.477503
2023SAB-86,8/18/2023,SAB_25,413429,45.895928,59.560002
2023SAB-87,8/18/2023,SAB_25,413430,45.895928,59.560002
2023SAB-88,8/18/2023,SAB_26,413432,45.897983,59.505322
2023SAB-89,8/18/2023,SAB_26,413433,45.897983,59.505322
2023SAB-90,8/18/2023,SAB_26,413434,45.897983,59.505322
2023SAB-91,8/18/2023,SAB_27,413436,45.899118,59.532105
2023SAB-92,8/18/2023,SAB_27,413437,45.899118,59.532105
2023SAB-93,8/18/2023,SAB_28,413439,45.881037,59.540707
2023SAB-94,8/18/2023,SAB_28,413440,45.881037,59.540707
2023SAB-95,8/18/2023,SAB_29,413441,45.904702,59.521798
2023SAB-96,8/18/2023,SAB_29,413442,45.904702,59.521798
2023SAB-97,8/18/2023,SAB_29,413443,45.904702,59.521798
2023SAB-98,8/18/2023,SAB_30,413444,46.037533,59.341307
2023SAB-99,8/18/2023,SAB_30,413445,46.037533,59.341307
2023SCATARIE-001,8/23/2023,SCATARIE2,413471,45.989028,59.208453
2023SCATARIE-002,8/23/2023,SCATARIE2,413472,45.989028,59.208453
2023SCATARIE-003,8/23/2023,BLANK,413474,NA,NA
SAB24_EDNA_001,8/8/2024,SAB_16,885001,46.04525,59.092493
SAB24_EDNA_002,8/8/2024,SAB_16,885002,46.04525,59.092493
SAB24_EDNA_003,8/8/2024,SAB_16,885003,46.04525,59.092493
SAB24_EDNA_004,8/8/2024,SAB_21,885004,45.989288,58.889794
SAB24_EDNA_005,8/8/2024,SAB_21,885005,45.989288,58.889794
SAB24_EDNA_006,8/8/2024,SAB_21,885006,45.989288,58.889794
SAB24_EDNA_007,8/8/2024,SAB_20,885007,46.036714,58.974353
SAB24_EDNA_008,8/8/2024,SAB_20,885008,46.036714,58.974353
SAB24_EDNA_009,8/8/2024,SAB_20,885009,46.036714,58.974353
SAB24_EDNA_010,8/8/2024,BLANK,885010,NA,NA
SAB24_EDNA_011,8/9/2024,SAB_02,885011,45.949129,59.757991
SAB24_EDNA_012,8/9/2024,SAB_02,885012,45.949129,59.757991
SAB24_EDNA_013,8/9/2024,SAB_02,885013,45.949129,59.757991
SAB24_EDNA_014,8/9/2024,SAB_03,885014,46.061806,59.567018
SAB24_EDNA_015,8/9/2024,SAB_03,885015,46.061806,59.567018
SAB24_EDNA_016,8/9/2024,SAB_03,885016,46.061806,59.567018
SAB24_EDNA_017,8/9/2024,SAB_07,885017,46.056315,59.412117
SAB24_EDNA_018,8/9/2024,SAB_07,885018,46.056315,59.412117
SAB24_EDNA_019,8/9/2024,SAB_07,885019,46.056315,59.412117
SAB24_EDNA_020,8/9/2024,SAB_08,885020,46.144731,59.403695
SAB24_EDNA_021,8/9/2024,SAB_08,885021,46.144731,59.403695
SAB24_EDNA_022,8/9/2024,SAB_08,885022,46.144731,59.403695
SAB24_EDNA_023,8/9/2024,SAB_04,885023,46.142204,59.567166
SAB24_EDNA_024,8/9/2024,SAB_04,885024,46.142204,59.567166
SAB24_EDNA_025,8/9/2024,SAB_04,885025,46.142204,59.567166
SAB24_EDNA_026,8/9/2024,BLANK,885026,NA,NA
SAB24_EDNA_027,8/12/2024,SAB_13,885027,46.271896,59.238174
SAB24_EDNA_028,8/12/2024,SAB_13,885028,46.271896,59.238174
SAB24_EDNA_029,8/12/2024,SAB_13,885029,46.271896,59.238174
SAB24_EDNA_030,8/12/2024,SAB_13,885030,NA,NA
SAB24_EDNA_031,8/14/2024,CURDO_8,885031,45.87983,59.6105
SAB24_EDNA_032,8/14/2024,CURDO_8,885032,45.87983,59.6105
SAB24_EDNA_033,8/14/2024,CURDO_8,885033,45.87983,59.6105
SAB24_EDNA_034,8/14/2024,CURDO_5,885034,45.884849,59.605424
SAB24_EDNA_035,8/14/2024,CURDO_5,885035,45.884849,59.605424
SAB24_EDNA_036,8/14/2024,CURDO_5,885036,45.884849,59.605424
SAB24_EDNA_037,8/14/2024,CURDO_2,885037,45.888316,59.602821
SAB24_EDNA_038,8/14/2024,CURDO_2,885038,45.888316,59.602821
SAB24_EDNA_039,8/14/2024,CURDO_2,885039,45.888316,59.602821
SAB24_EDNA_040,8/14/2024,CURDO_7,885040,45.905281,59.608165
SAB24_EDNA_041,8/14/2024,CURDO_7,885041,45.905281,59.608165
SAB24_EDNA_042,8/14/2024,CURDO_7,885042,45.905281,59.608165
SAB24_EDNA_043,8/14/2024,CURDO_4,885043,45.900935,59.60646
SAB24_EDNA_044,8/14/2024,CURDO_4,885044,45.900935,59.60646
SAB24_EDNA_045,8/14/2024,CURDO_4,885045,45.900935,59.60646
SAB24_EDNA_046,8/14/2024,CURDO_1,885046,45.900935,59.60646
SAB24_EDNA_047,8/14/2024,CURDO_1,885047,45.900935,59.60646
SAB24_EDNA_048,8/14/2024,CURDO_1,885048,45.900935,59.60646
SAB24_EDNA_049,8/14/2024,CURDO_10,885049,45.89139,59.601783
SAB24_EDNA_050,8/14/2024,CURDO_10,885050,45.89139,59.601783
SAB24_EDNA_051,8/14/2024,CURDO_10,885051,45.89139,59.601783
SAB24_EDNA_052,8/14/2024,CURDO_3,885052,45.892496,59.594283
SAB24_EDNA_053,8/14/2024,CURDO_3,885053,45.892496,59.594283
SAB24_EDNA_054,8/14/2024,CURDO_3,885054,45.892496,59.594283
SAB24_EDNA_055,8/14/2024,CURDO_6,885055,45.892053,59.583449
SAB24_EDNA_056,8/14/2024,CURDO_6,885056,45.892053,59.583449
SAB24_EDNA_057,8/14/2024,CURDO_6,885057,45.892053,59.583449
SAB24_EDNA_058,8/14/2024,CURDO_9,885058,45.892634,59.579056
SAB24_EDNA_059,8/14/2024,CURDO_9,885059,45.892634,59.579056
SAB24_EDNA_060,8/14/2024,CURDO_9,885060,45.892634,59.579056
SAB24_EDNA_061,8/14/2024,SAB_1,885061,45.843828,59.582363
SAB24_EDNA_062,8/14/2024,SAB_1,885062,45.843828,59.582363
SAB24_EDNA_063,8/14/2024,SAB_1,885063,45.843828,59.582363
SAB24_EDNA_064,8/14/2024,BLANK,885064,NA,NA
SAB24_EDNA_065,8/14/2024,BLANK,885065,NA,NA
SAB24_EDNA_066,8/15/2024,SAB_6,885066,45.94501,59.42343
SAB24_EDNA_067,8/15/2024,SAB_6,885067,45.94501,59.42343
SAB24_EDNA_068,8/15/2024,SAB_6,885068,45.94501,59.42343
SAB24_EDNA_069,8/15/2024,SAB_10,885069,45.940385,59.258815
SAB24_EDNA_070,8/15/2024,SAB_10,885070,45.940385,59.258815
SAB24_EDNA_071,8/15/2024,SAB_10,885071,45.940385,59.258815
SAB24_EDNA_072,8/15/2024,BLANK,885072,NA,NA
SAB24_EDNA_073,8/16/2024,SAB_5,885073,45.853575,59.433784
SAB24_EDNA_074,8/16/2024,SAB_5,885074,45.853575,59.433784
SAB24_EDNA_075,8/16/2024,SAB_5,885075,45.853575,59.433784
SAB24_EDNA_076,8/16/2024,SAB_9,885076,45.862785,59.275125
SAB24_EDNA_077,8/16/2024,SAB_9,885077,45.862785,59.275125
SAB24_EDNA_078,8/16/2024,SAB_9,885078,45.862785,59.275125
SAB24_EDNA_079,8/16/2024,SAB_14,885079,45.870942,59.140814
SAB24_EDNA_080,8/16/2024,SAB_14,885080,45.870942,59.140814
SAB24_EDNA_081,8/16/2024,SAB_14,885081,45.870942,59.140814
SAB24_EDNA_082,8/16/2024,SAB_19,885082,45.93695,58.984953
SAB24_EDNA_083,8/16/2024,SAB_19,885083,45.93695,58.984953
SAB24_EDNA_084,8/16/2024,SAB_19,885084,45.93695,58.984953
SAB24_EDNA_085,8/16/2024,SAB_15,885085,45.936672,59.100682
SAB24_EDNA_086,8/16/2024,SAB_15,885086,45.936672,59.100682
SAB24_EDNA_087,8/16/2024,SAB_15,885087,45.936672,59.100682
SAB24_EDNA_088,8/16/2024,BLANK,885088,NA,NA
SAB24_EDNA_089,8/17/2024,CAM_34,885089,45.871411,59.56617
SAB24_EDNA_090,8/17/2024,CAM_34,885090,45.871411,59.56617
SAB24_EDNA_091,8/17/2024,CAM_34,885091,45.871411,59.56617
SAB24_EDNA_092,8/17/2024,CAM_37,885092,45.827023,59.64316
SAB24_EDNA_093,8/17/2024,CAM_37,885093,45.827023,59.64316
SAB24_EDNA_094,8/17/2024,CAM_37,885094,45.827023,59.64316
SAB24_EDNA_095,8/17/2024,BLANK,885095,NA,NA
SAB24_EDNA_096,8/15/2024,CAM_13C,NA,45.8915,59.6198
SAB24_EDNA_097,8/15/2024,CAM_13C,NA,45.8915,59.6198
SAB24_EDNA_098,8/15/2024,CAM_13C,NA,45.8915,59.6198
SAB24_EDNA_099,8/15/2024,CAM_13C,NA,45.8915,59.6198
SAB24_EDNA_100,8/15/2024,CAM_13C,NA,45.8915,59.6198
SAB24_EDNA_101,8/15/2024,CAM_13C,NA,45.8915,59.6198
SAB24_EDNA_102,8/15/2024,CAM_14,NA,45.8991,59.5756
SAB24_EDNA_103,8/15/2024,CAM_14,NA,45.8991,59.5756
SAB24_EDNA_104,8/15/2024,CAM_14,NA,45.8991,59.5756
SAB24_EDNA_105,8/15/2024,CAM_14,NA,45.8991,59.5756
SAB24_EDNA_106,8/15/2024,CAM_14,NA,45.8991,59.5756
SAB24_EDNA_107,8/15/2024,CAM_14,NA,45.8991,59.5756
SAB24_EDNA_108,8/15/2024,CAM_17,NA,45.9401,59.3144
SAB24_EDNA_109,8/15/2024,CAM_17,NA,45.9401,59.3144
SAB24_EDNA_110,8/15/2024,CAM_17,NA,45.9401,59.3144
SAB24_EDNA_111,8/15/2024,CAM_17,NA,45.9401,59.3144
SAB24_EDNA_112,8/15/2024,CAM_17,NA,45.9401,59.3144
SAB24_AZMP_01,10/20/2024,STAB_06,NA,46.64487,58.54527
SAB24_AZMP_02,10/20/2024,STAB_06,NA,46.64487,58.54527
SAB24_AZMP_03,10/21/2024,STAB_05,NA,46.41679,58.88339
SAB24_AZMP_04,10/21/2024,STAB_05,NA,46.41679,58.88339
SAB24_AZMP_05,10/21/2024,STAB_04,NA,46.30005,59.064476
SAB24_AZMP_06,10/21/2024,STAB_04,NA,46.30005,59.064476
SAB24_AZMP_07,10/21/2024,STAB_03,NA,46.216604,59.194821
SAB24_AZMP_08,10/21/2024,STAB_03,NA,46.216604,59.194821
SAB24_AZMP_09,10/21/2024,STAB_02,NA,46.10833,59.36425
SAB24_AZMP_10,10/21/2024,STAB_02,NA,46.10833,59.36425
SAB24_AZMP_11,10/21/2024,STAB_01,NA,45.99982,59.53293
SAB24_AZMP_12,10/21/2024,STAB_01,NA,45.99982,59.53293
PER25-4,6/14/2025,SAB_07,625001,46.056649,59.415992
PER25-5,6/14/2025,SAB_07,625002,46.056649,59.415992
PER25-6,6/14/2025,SAB_07,625003,46.056649,59.415992
PER25-7,6/14/2025,SAB_08,625004,46.141882,59.404368
PER25-8,6/14/2025,SAB_08,625005,46.141882,59.404368
PER25-9,6/14/2025,SAB_08,625006,46.141882,59.404368
PER25-10,6/14/2025,SAB_04,625007,46.142161,59.568747
PER25-11,6/14/2025,SAB_04,625008,46.142161,59.568747
PER25-12,6/14/2025,SAB_04,625009,46.142161,59.568747
PER25-13,6/14/2025,SAB_03,625010,46.067035,59.57806
PER25-14,6/14/2025,SAB_03,625011,46.067035,59.57806
PER25-15,6/14/2025,SAB_03,625012,46.067035,59.57806
PER25-16,6/14/2025,SAB_02,625013,45.952831,59.580324
PER25-17,6/14/2025,SAB_02,625014,45.952831,59.580324
PER25-18,6/14/2025,SAB_02,625015,45.952831,59.580324
PER25-19,6/14/2025,SAB_06,625016,45.945277,59.421692
PER25-20,6/14/2025,SAB_06,625017,45.945277,59.421692
PER25-21,6/14/2025,SAB_06,625018,45.945277,59.421692
PER25-22,6/14/2025,SAB_05,625019,45.892665,59.43284
PER25-23,6/14/2025,SAB_05,625020,45.892665,59.43284
PER25-24,6/14/2025,SAB_05,625021,45.892665,59.43284
PER25-25,6/14/2025,SAB_01,625022,45.84533,59.582323
PER25-26,6/14/2025,SAB_01,625023,45.84533,59.582323
NA,6/14/2025,SAB_01,625024,45.84533,59.582323
PER25-27,6/14/2025,CURDO_10,625025,45.893869,59.598442
PER25-28,6/14/2025,CURDO_10,625026,45.893869,59.598442
PER25-29,6/14/2025,CURDO_10,625027,45.893869,59.598442
PER25-30,6/14/2025,CURDO_11,625028,45.890333,59.60842
PER25-31,6/14/2025,CURDO_11,625029,45.890333,59.60842
PER25-32,6/14/2025,CURDO_11,625030,45.890333,59.60842
PER25-33,6/14/2025,CURDO_01,625031,45.897077,59.600934
PER25-34,6/14/2025,CURDO_01,625032,45.897077,59.600934
PER25-35,6/14/2025,CURDO_01,625033,45.897077,59.600934
PER25-36,6/14/2025,CURDO_04,625034,45.900959,59.60416
PER25-37,6/14/2025,CURDO_04,625035,45.900959,59.60416
PER25-38,6/14/2025,CURDO_04,625036,45.900959,59.60416
PER25-39,6/14/2025,BLANK,625037,BLANK,BLANK
PER25-40,6/14/2025,CURDO_07,625038,45.904416,59.607051
PER25-41,6/14/2025,CURDO_07,625039,45.904416,59.607051
PER25-42,6/14/2025,CURDO_07,625040,45.904416,59.607051
PER25-43,6/15/2025,SAB_09,625041,45.862622,59.278115
PER25-44,6/15/2025,SAB_09,625042,45.862622,59.278115
PER25-45,6/15/2025,SAB_09,625043,45.862622,59.278115
PER25-46,6/15/2025,SAB_14,625044,45.871165,59.141251
PER25-47,6/15/2025,SAB_14,625045,45.871165,59.141251
PER25-48,6/15/2025,SAB_14,625046,45.871165,59.141251
PER25-49,6/15/2025,SAB_15,625047,45.929964,59.103435
PER25-50,6/15/2025,SAB_15,625048,45.929964,59.103435
PER25-51,6/15/2025,SAB_15,625049,45.929964,59.103435
PER25-52,6/15/2025,SAB_19,625050,45.93523,58.982609
PER25-53,6/15/2025,SAB_19,625051,45.93523,58.982609
PER25-54,6/15/2025,SAB_19,625052,45.93523,58.982609
PER25-55,6/15/2025,SAB_20,625053,46.037222,58.980114
PER25-56,6/15/2025,SAB_20,625054,46.037222,58.980114
PER25-57,6/15/2025,SAB_20,625055,46.037222,58.980114
PER25-58,6/15/2025,SAB_16,625056,46.047082,59.087652
PER25-59,6/15/2025,SAB_16,625057,46.047082,59.087652
PER25-60,6/15/2025,SAB_16,625058,46.047082,59.087652
PER25-61,6/15/2025,Scatarie_4,625059,45.996521,59.245021
PER25-62,6/15/2025,Scatarie_4,625060,45.996521,59.245021
PER25-63,6/15/2025,Scatarie_4,625061,45.996521,59.245021
PER25-64,6/15/2025,Scatarie_10,625062,45.971976,59.226801
PER25-65,6/15/2025,Scatarie_10,625063,45.971976,59.226801
PER25-66,6/15/2025,Scatarie_10,625064,45.971976,59.226801
